date,investor,acreage,pricePerM,price,numBedroom,numBathroom,furniture,directionHome,directionBalcony,district,quan,huyen,farCenter,lat,long,quarters
2020-09-28,công ty tnhh đầu tư xây dựng và phát triển hạ tầng,68.0,14.5,14.5 triệu/m²,2.0,2.0,full,tây-bắc,đông-nam,Hà Đông,1,0,12.570992447245539,20.9819164276123,105.74249267578101,3
2020-09-28,tập đoàn vingroup,161.0,77.63975155279503,12.5 tỷ,3.0,2.0,cơ bản,Missing,Missing,Hai Bà Trưng,1,0,1.9589890064102569,21.0115528106689,105.849258422852,3
2020-09-28,tập đoàn vingroup,167.0,54.0,54 triệu/m²,4.0,3.0,cao cấp,bắc,nam,Đống Đa,1,0,4.48421079148588,21.0229530334473,105.809814453125,3
2020-09-27,công ty cp xuất nhập khẩu tổng hợp hà nội - geleximco,113.0,25.0,25 triệu/m²,3.0,2.0,cơ bản,bắc,đông-nam,Bắc Từ Liêm,1,0,8.016016166896572,21.0495662689209,105.778594970703,3
2020-09-27,tập đoàn vingroup,53.0,26.0,26 triệu/m²,1.0,2.0,full,Missing,Missing,Hai Bà Trưng,1,0,4.116973104094032,20.9947910308838,105.86784362792999,3
2020-09-27,Missing,46.0,25.869565217391305,1.19 tỷ,1.0,2.0,cơ bản,Missing,Missing,Gia Lâm,0,1,11.966388708428244,21.0024147033691,105.964111328125,3
2020-09-26,tập đoàn vingroup,107.0,34.5,34.5 triệu/m²,3.0,2.0,cơ bản,Missing,Missing,Nam Từ Liêm,1,0,7.527949821012995,21.0197982788086,105.780708312988,3
2020-09-26,tập đoàn vingroup,100.0,28.0,28 triệu/m²,3.0,2.0,full,Missing,Missing,Nam Từ Liêm,1,0,9.598783261808332,21.0365676879883,105.760482788086,3
2020-09-26,tập đoàn vingroup,107.0,34.57943925233645,3.7 tỷ,3.0,2.0,cao cấp,Missing,Missing,Nam Từ Liêm,1,0,7.527949821012995,21.0197982788086,105.780708312988,3
2020-09-26,tập đoàn vingroup,170.0,56.470588235294116,9.6 tỷ,4.0,3.0,chưa có,Missing,Missing,Nam Từ Liêm,1,0,7.433990768186256,21.0190830230713,105.78173065185499,3
2020-09-26,tập đoàn vingroup,100.0,45.0,4.5 tỷ,3.0,2.0,full,Missing,Missing,Nam Từ Liêm,1,0,7.433990768186256,21.0190830230713,105.78173065185499,3
2020-09-26,Missing,54.0,32.407407407407405,1.75 tỷ,2.0,1.0,chưa có,Missing,Missing,Nam Từ Liêm,1,0,12.33492902005939,20.9992771148682,105.73811340332001,3
2020-09-22,Missing,100.0,17.5,1.75 tỷ,2.0,2.0,cơ bản,Missing,Missing,Cầu Giấy,1,0,6.322790354600669,21.0416549,105.7932017,3
2020-09-26,công ty cp đầu tư phú thượng,97.57,26.0,26 triệu/m²,3.0,3.0,full,tây,đông,Tây Hồ,1,0,6.814360270004972,21.081007003784197,105.81809234619101,3
2020-09-26,tập đoàn vingroup,66.0,44.6969696969697,2.95 tỷ,2.0,2.0,chưa có,Missing,Missing,Nam Từ Liêm,1,0,7.433990768186256,21.0190830230713,105.78173065185499,3
2020-09-26,hd mon holdings,94.0,36.17021276595744,3.4 tỷ,3.0,2.0,full,Missing,Missing,Nam Từ Liêm,1,0,8.70176637734733,21.029411315918,105.768753051758,3
2020-09-26,tập đoàn vingroup,50.0,43.6,2.18 tỷ,1.0,2.0,cơ bản,Missing,Missing,Nam Từ Liêm,1,0,7.433990768186256,21.0190830230713,105.78173065185499,3
